gravity,role,realization,component,beta,N,effective_rows,max_weight
Newton,test,1,pure,1.3,20000,19061.636122605716,9.44481477214979e-05
Newton,test,1,pure,1.6,20000,16460.1937941406,0.00017004464737956405
Newton,test,1,pure,1.15,20000,19766.794252596912,6.912266269194135e-05
Newton,test,1,pure,1.45,20000,17926.146706900035,0.00012750779901625698
Newton,test,2,comp160,1.0,20000,19999.99999938691,5.000014666479618e-05
Newton,test,2,comp160,1.3,20000,19055.36245148107,9.647119483553561e-05
Newton,test,2,comp160,1.6,20000,16457.229275326696,0.00017735556152489424
Newton,test,2,comp160,1.15,20000,19764.39272615482,6.986195413672301e-05
Newton,test,2,comp160,1.45,20000,17918.93297059603,0.0001316100884401616
Newton,test,2,comp40,1.0,20000,19999.999999354393,5.000015021353966e-05
Newton,test,2,comp40,1.3,20000,19040.515706332666,9.323474333261776e-05
Newton,test,2,comp40,1.6,20000,16404.686080368145,0.00016552586439960045
Newton,test,2,comp40,1.15,20000,19760.772235341596,6.868642360332222e-05
Newton,test,2,comp40,1.45,20000,17886.622365925115,0.0001250069303274345
Newton,test,2,comp60,1.0,20000,19999.999999377516,5.000014562743795e-05
Newton,test,2,comp60,1.3,20000,19041.145325488887,9.768177346671014e-05
Newton,test,2,comp60,1.6,20000,16374.968369976434,0.00018169741518140678
Newton,test,2,comp60,1.15,20000,19762.130092712618,7.030324271906712e-05
Newton,test,2,comp60,1.45,20000,17877.872223282324,0.00013406184420398327
Newton,test,2,comp80,1.0,20000,19999.999999345277,5.000015103174321e-05
Newton,test,2,comp80,1.3,20000,19026.868095089292,9.410156777239056e-05
Newton,test,2,comp80,1.6,20000,16349.242345332075,0.00016849130330541813
Newton,test,2,comp80,1.15,20000,19757.761038535074,6.901144148448628e-05
Newton,test,2,comp80,1.45,20000,17854.533655403313,0.00012671956722097726
Newton,test,2,pure,1.0,20000,19999.99999950547,5.00001323783855e-05
Newton,test,2,pure,1.3,20000,19049.018320853553,9.326729243398238e-05
Newton,test,2,pure,1.6,20000,16413.02337250591,0.0001657125215020516
Newton,test,2,pure,1.15,20000,19763.90258971455,6.869357770371984e-05
Newton,test,2,pure,1.45,20000,17897.611589332137,0.00012509512439874123
QUMOND,calibration,0,comp40,1.0,20000,19630.861287794967,7.351391304293175e-05
QUMOND,calibration,0,comp40,1.3,20000,19330.697505638214,7.582445035531296e-05
QUMOND,calibration,0,comp40,1.6,20000,17461.99977970801,0.00010190751749526758
QUMOND,calibration,0,comp40,1.15,20000,19700.10902143589,7.032700921516057e-05
QUMOND,calibration,0,comp40,1.45,20000,18558.65707181608,8.604839051770586e-05
QUMOND,calibration,0,comp80,1.0,20000,19630.593013616548,7.264711159399141e-05
QUMOND,calibration,0,comp80,1.3,20000,19324.988688566693,7.58265125039506e-05
QUMOND,calibration,0,comp80,1.6,20000,17448.87413628366,0.000101598332298998
QUMOND,calibration,0,comp80,1.15,20000,19698.799546280778,7.10171796916272e-05
QUMOND,calibration,0,comp80,1.45,20000,18547.94472937997,8.550071605138154e-05
QUMOND,calibration,0,pure,1.0,20000,19649.375487193203,7.316289664181193e-05
QUMOND,calibration,0,pure,1.3,20000,19301.754885447946,7.498674986106146e-05
QUMOND,calibration,0,pure,1.6,20000,17369.089114242426,0.00010461399302773739
QUMOND,calibration,0,pure,1.15,20000,19698.346089563776,7.018341225795614e-05
QUMOND,calibration,0,pure,1.45,20000,18497.63485077555,8.648714190434415e-05
QUMOND,calibration,1,comp40,1.0,20000,19627.09892414919,7.305239291422887e-05
QUMOND,calibration,1,comp40,1.3,20000,19332.750822000187,7.532775133329322e-05
QUMOND,calibration,1,comp40,1.6,20000,17446.629613520166,0.0001029786860843589
QUMOND,calibration,1,comp40,1.15,20000,19700.870772182487,7.066198183811514e-05
QUMOND,calibration,1,comp40,1.45,20000,18555.562527224887,8.560506505145017e-05
QUMOND,calibration,1,comp80,1.0,20000,19627.184302462792,7.303183318767917e-05
QUMOND,calibration,1,comp80,1.3,20000,19335.524688641533,7.542421628614336e-05
QUMOND,calibration,1,comp80,1.6,20000,17483.36496318703,0.00010186520901066292
QUMOND,calibration,1,comp80,1.15,20000,19700.8443262471,7.112558975278051e-05
QUMOND,calibration,1,comp80,1.45,20000,18569.763676116752,8.415235296520832e-05
QUMOND,calibration,1,pure,1.0,20000,19658.83938186302,7.317421866973457e-05
QUMOND,calibration,1,pure,1.3,20000,19307.096887310385,7.721176311807453e-05
QUMOND,calibration,1,pure,1.6,20000,17351.597543907563,0.00010553371662110293
QUMOND,calibration,1,pure,1.15,20000,19707.014758927275,7.084977189229951e-05
QUMOND,calibration,1,pure,1.45,20000,18494.79570226378,8.612560757992144e-05
QUMOND,calibration,2,comp40,1.0,20000,19635.992564422897,7.3037044866727e-05
QUMOND,calibration,2,comp40,1.3,20000,19327.791725940362,7.539147717999307e-05
QUMOND,calibration,2,comp40,1.6,20000,17470.709954492228,0.00010225603562993801
QUMOND,calibration,2,comp40,1.15,20000,19699.610351415085,7.057558272844886e-05
QUMOND,calibration,2,comp40,1.45,20000,18558.618823956538,8.530993496168314e-05
QUMOND,calibration,2,comp80,1.0,20000,19624.14553873433,7.291748799851224e-05
QUMOND,calibration,2,comp80,1.3,20000,19339.139661387115,7.561964195992396e-05
QUMOND,calibration,2,comp80,1.6,20000,17459.12977016524,0.00010298407619319199
QUMOND,calibration,2,comp80,1.15,20000,19704.16294321037,7.09318896959633e-05
QUMOND,calibration,2,comp80,1.45,20000,18564.22430486603,8.464408179337113e-05
QUMOND,calibration,2,pure,1.0,20000,19656.575568013417,7.298043527389098e-05
QUMOND,calibration,2,pure,1.3,20000,19305.23881796027,7.6331870403692e-05
QUMOND,calibration,2,pure,1.6,20000,17366.054037415954,0.00010522277779028379
QUMOND,calibration,2,pure,1.15,20000,19702.459748012705,7.138578957991948e-05
QUMOND,calibration,2,pure,1.45,20000,18499.688853356085,8.630952926324715e-05
QUMOND,fitting,0,comp40,1.0,20000,19629.168416465774,7.394567727683593e-05
QUMOND,fitting,0,comp40,1.3,20000,19332.14486188471,7.503843358338286e-05
QUMOND,fitting,0,comp40,1.6,20000,17454.067032731942,0.0001011474241316133
QUMOND,fitting,0,comp40,1.15,20000,19702.926889195685,7.035078534031756e-05
QUMOND,fitting,0,comp40,1.45,20000,18555.272253653195,8.45567671625774e-05
QUMOND,fitting,0,comp80,1.0,20000,19626.30507093738,7.39552099185076e-05
QUMOND,fitting,0,comp80,1.3,20000,19330.24894914232,7.548611503613706e-05
QUMOND,fitting,0,comp80,1.6,20000,17461.250369347315,0.00010240028641983938
QUMOND,fitting,0,comp80,1.15,20000,19700.2812503947,7.13326820497919e-05
QUMOND,fitting,0,comp80,1.45,20000,18556.271154880607,8.554976835844485e-05
QUMOND,fitting,0,pure,1.0,20000,19652.436022413527,7.285938075111129e-05
QUMOND,fitting,0,pure,1.3,20000,19310.65234958326,7.701671541635023e-05
QUMOND,fitting,0,pure,1.6,20000,17365.52790583076,0.00010406339694091923
QUMOND,fitting,0,pure,1.15,20000,19705.756871227502,7.139497544067707e-05
QUMOND,fitting,0,pure,1.45,20000,18503.020105720127,8.681454499114185e-05
QUMOND,test,1,comp160,1.0,20000,19631.220005540166,7.294458067813836e-05
QUMOND,test,1,comp160,1.3,20000,19325.30352702727,7.507760233419917e-05
QUMOND,test,1,comp160,1.6,20000,17440.157108656873,0.00010280063507761266
QUMOND,test,1,comp160,1.15,20000,19700.53641108643,7.112262714640366e-05
QUMOND,test,1,comp160,1.45,20000,18544.567218617954,8.586798553822392e-05
QUMOND,test,1,comp40,1.0,20000,19626.7063843302,7.353533605990712e-05
QUMOND,test,1,comp40,1.3,20000,19326.94469515288,7.612945231492418e-05
QUMOND,test,1,comp40,1.6,20000,17440.054108116456,0.0001033561868479216
QUMOND,test,1,comp40,1.15,20000,19698.752096587017,7.055356600494835e-05
QUMOND,test,1,comp40,1.45,20000,18547.535369530717,8.449271497009649e-05
QUMOND,test,1,comp60,1.0,20000,19620.66753520302,7.352165899726976e-05
QUMOND,test,1,comp60,1.3,20000,19335.937238687584,7.570501437596412e-05
QUMOND,test,1,comp60,1.6,20000,17481.51630524019,0.00010114671305793977
QUMOND,test,1,comp60,1.15,20000,19698.53886851672,6.962258174088171e-05
QUMOND,test,1,comp60,1.45,20000,18570.260057346015,8.474657672552417e-05
QUMOND,test,1,comp80,1.0,20000,19628.69517798905,7.334571939701922e-05
QUMOND,test,1,comp80,1.3,20000,19341.79954608771,7.50198498247243e-05
QUMOND,test,1,comp80,1.6,20000,17492.829250392522,0.00010291103227183533
QUMOND,test,1,comp80,1.15,20000,19702.74028935676,7.031821024643604e-05
QUMOND,test,1,comp80,1.45,20000,18579.9313135824,8.567401924194561e-05
QUMOND,test,1,pure,1.0,20000,19650.777505562426,7.288310770810668e-05
QUMOND,test,1,pure,1.3,20000,19294.77770522325,7.600135428692791e-05
QUMOND,test,1,pure,1.6,20000,17329.618218358948,0.00010528082028878002
QUMOND,test,1,pure,1.15,20000,19697.072443611538,7.15312427309745e-05
QUMOND,test,1,pure,1.45,20000,18478.307040992182,8.676719501302537e-05
QUMOND,test,2,comp160,1.0,20000,19631.54846405771,7.2802887473571e-05
QUMOND,test,2,comp160,1.3,20000,19344.668363649922,7.533903863846655e-05
QUMOND,test,2,comp160,1.6,20000,17505.53700465152,0.00010270788360857413
QUMOND,test,2,comp160,1.15,20000,19704.965540995134,7.044667747047349e-05
QUMOND,test,2,comp160,1.45,20000,18586.077994129035,8.419126099813765e-05
QUMOND,test,2,comp40,1.0,20000,19623.945731749627,7.332237607624256e-05
QUMOND,test,2,comp40,1.3,20000,19335.622015218767,7.627665864271148e-05
QUMOND,test,2,comp40,1.6,20000,17447.33188909914,0.00010161668101138487
QUMOND,test,2,comp40,1.15,20000,19704.31545318907,7.051276591020911e-05
QUMOND,test,2,comp40,1.45,20000,18555.85269955784,8.502026848802964e-05
QUMOND,test,2,comp60,1.0,20000,19616.457304857147,7.319983909325231e-05
QUMOND,test,2,comp60,1.3,20000,19334.761147747704,7.490745294909886e-05
QUMOND,test,2,comp60,1.6,20000,17491.085887373112,0.00010139524659772251
QUMOND,test,2,comp60,1.15,20000,19693.52818084049,7.121573478535871e-05
QUMOND,test,2,comp60,1.45,20000,18574.981147254894,8.429140870627019e-05
QUMOND,test,2,comp80,1.0,20000,19633.981106737996,7.297170574002481e-05
QUMOND,test,2,comp80,1.3,20000,19333.11785961797,7.525595035672422e-05
QUMOND,test,2,comp80,1.6,20000,17445.131765862057,0.0001019850853366745
QUMOND,test,2,comp80,1.15,20000,19705.641139401978,7.043716924544104e-05
QUMOND,test,2,comp80,1.45,20000,18552.924211490965,8.55655328136299e-05
QUMOND,test,2,pure,1.0,20000,19654.213598504473,7.216627588555821e-05
QUMOND,test,2,pure,1.3,20000,19305.765401626893,7.620818067166235e-05
QUMOND,test,2,pure,1.6,20000,17376.387309985806,0.00010438336890563486
QUMOND,test,2,pure,1.15,20000,19701.72722889907,7.051082715926148e-05
QUMOND,test,2,pure,1.45,20000,18503.34406473343,8.610949862351933e-05
