extreme,gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
true_retained,Newton,0,test,2,1.0,0.3,,160,fitted_grid,outside_inner_prior,12,326012001,baseline,conditional66,sparse_floor,1000,1000,954,10,36,19,17,973,0.00033800000000000003,1.747,1.085,0.954,0.9391877960583809,0.9653375072367351,0.01,0.005440754445529249,0.018309468870314774,0.036,0.02611557140738732,0.049435660467207834,0.973,0.9610012692469598,0.9813786172257051,True,False,False,False,False,False,outside_inner_prior
correct,Newton,0,test,2,1.0,0.3,,160,fitted_grid,outside_inner_prior,12,326012001,envelope,full66,sparse_floor,1000,1000,981,2,17,0,17,981,0.00033800000000000003,1.041,1.137,0.981,0.9705155440876868,0.9878031142492091,0.002,0.000548643588120728,0.007262807863492177,0.017,0.010640689856816328,0.027055958840229925,0.981,0.9705155440876868,0.9878031142492091,True,False,False,True,False,False,outside_inner_prior
wrong,Newton,0,test,2,1.0,0.0,,,fitted_grid,pure,0,326000001,envelope,full66,sparse_floor,1000,1000,986,10,4,0,4,986,4.8e-05,1.032,1.012,0.986,0.9766379658824644,0.9916424248695761,0.01,0.005440754445529249,0.018309468870314774,0.004,0.0015565881404084308,0.010239556277262253,0.986,0.9766379658824644,0.9916424248695761,True,False,False,False,False,False,fitted_family
true_retained,Newton,0,test,2,1.0,0.3,,160,fitted_grid,outside_inner_prior,12,326012001,envelope,full66,sparse_floor,1000,1000,981,2,17,0,17,981,0.00033800000000000003,1.041,1.137,0.981,0.9705155440876868,0.9878031142492091,0.002,0.000548643588120728,0.007262807863492177,0.017,0.010640689856816328,0.027055958840229925,0.981,0.9705155440876868,0.9878031142492091,True,False,False,True,False,False,outside_inner_prior
correct,QUMOND,1,test,2,1.15,0.3,,160,outside_beta_grid,outside_inner_prior,41,326141001,envelope,no_diagnostics66,uniform_white,1000,1000,987,0,13,0,13,987,8.7e-05,1.862,1.371,0.987,0.9778855576244203,0.9923871796106489,0.0,2.168404344971009e-19,0.0038267584855551234,0.013,0.0076128203893510256,0.022114442375579666,0.987,0.9778855576244203,0.9923871796106489,True,False,False,True,False,False,outside_beta_grid
wrong,Newton,0,test,1,1.15,0.3,,60,outside_beta_grid,outside_inner_prior,40,325040001,envelope,no_diagnostics66,uniform_white,1000,1000,997,1,2,0,2,997,0.000124,1.876,2.222,0.997,0.9912169859464969,0.9989792161188614,0.001,0.00017654637062607809,0.0056425585979579355,0.002,0.000548643588120728,0.007262807863492177,0.997,0.9912169859464969,0.9989792161188614,True,True,True,True,True,True,outside_beta_grid
true_retained,QUMOND,1,test,2,1.15,0.3,,160,outside_beta_grid,outside_inner_prior,41,326141001,envelope,no_diagnostics66,uniform_white,1000,1000,987,0,13,0,13,987,8.7e-05,1.862,1.371,0.987,0.9778855576244203,0.9923871796106489,0.0,2.168404344971009e-19,0.0038267584855551234,0.013,0.0076128203893510256,0.022114442375579666,0.987,0.9778855576244203,0.9923871796106489,True,False,False,True,False,False,outside_beta_grid
correct,Newton,0,test,1,1.45,0.3,,160,outside_beta_grid,outside_inner_prior,44,325044001,envelope,full34,sparse_floor,1000,1000,927,0,73,73,0,1000,0.000769,1.198,1.115,0.927,0.9091909744657494,0.9415409737875866,0.0,2.168404344971009e-19,0.0038267584855551234,0.073,0.05845902621241335,0.0908090255342507,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_beta_grid
wrong,Newton,0,test,1,1.3,0.0,,,fitted_grid,pure,13,325013001,envelope,full34,uniform_white,1000,1000,970,7,23,23,0,993,0.0,1.025,1.028,0.97,0.9574965858524128,0.9789062611711653,0.007,0.0033948684009907646,0.014378315465766588,0.023,0.015374276932992918,0.03427645066222667,0.993,0.9856216845342334,0.9966051315990092,True,True,True,False,False,False,fitted_family
true_retained,Newton,0,test,2,1.45,0.3,,160,outside_beta_grid,outside_inner_prior,44,326044001,envelope,full34,uniform_white,1000,1000,959,6,35,29,6,988,0.0006129999999999999,1.199,1.133,0.959,0.9448520067923587,0.9696350289179017,0.006,0.0027526691418763745,0.01302816824185209,0.035,0.02527226301711295,0.04828662237445333,0.988,0.9791427315245017,0.9931223521935965,True,False,False,False,False,False,outside_beta_grid
correct,QUMOND,1,test,1,1.3,0.0,,,fitted_grid,pure,13,325113001,envelope,covariates_only66,uniform_white,1000,1000,0,2,998,998,0,998,0.0,13.126,14.303,0.0,2.168404344971009e-19,0.0038267584855551234,0.002,0.000548643588120728,0.007262807863492177,0.998,0.9927371921365079,0.9994513564118793,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
wrong,QUMOND,1,test,1,1.6,0.075,,60,fitted_grid,outside_inner_prior,29,325129001,envelope,covariates_only66,clustered_correlated,1000,1000,0,14,986,984,2,984,0.0,13.011,14.144,0.0,2.168404344971009e-19,0.0038267584855551234,0.014,0.00835757513042392,0.02336203411753566,0.986,0.9766379658824644,0.9916424248695761,0.984,0.97416793978826,0.9901277579977227,False,False,False,False,False,False,outside_inner_prior
true_retained,QUMOND,1,test,1,1.6,0.075,,60,fitted_grid,outside_inner_prior,29,325129001,envelope,covariates_only66,clustered_correlated,1000,1000,0,14,986,984,2,984,0.0,13.011,14.144,0.0,2.168404344971009e-19,0.0038267584855551234,0.014,0.00835757513042392,0.02336203411753566,0.986,0.9766379658824644,0.9916424248695761,0.984,0.97416793978826,0.9901277579977227,False,False,False,False,False,False,outside_inner_prior
correct,QUMOND,1,test,1,1.6,0.3,,40,fitted_grid,fitted_prior,35,325135001,envelope,conditional66,clustered_correlated,1000,1000,901,4,95,94,1,995,0.000433,1.837,1.026,0.901,0.8809263810632503,0.9180045586313347,0.004,0.0015565881404084308,0.010239556277262253,0.095,0.07834523457904741,0.11475443979425223,0.995,0.9883490446266249,0.9978624644726756,False,True,False,False,False,False,fitted_family
wrong,Newton,0,test,2,1.0,0.0,,,fitted_grid,pure,0,326000001,envelope,conditional66,sparse_floor,1000,1000,958,21,21,21,0,979,4.8e-05,1.902,1.003,0.958,0.9437155747733968,0.9687791144538346,0.021,0.013775739567924286,0.03189029506123752,0.021,0.013775739567924286,0.03189029506123752,0.979,0.9681097049387625,0.9862242604320758,False,False,False,False,False,False,fitted_family
true_retained,Newton,0,test,2,1.0,0.0,,,fitted_grid,pure,0,326000001,envelope,conditional66,sparse_floor,1000,1000,958,21,21,21,0,979,4.8e-05,1.902,1.003,0.958,0.9437155747733968,0.9687791144538346,0.021,0.013775739567924286,0.03189029506123752,0.021,0.013775739567924286,0.03189029506123752,0.979,0.9681097049387625,0.9862242604320758,False,False,False,False,False,False,fitted_family
