gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,comparison_type,first_rule,first_mode,second_rule,second_mode,scenario,N_catalogues,same_decision,difference_direction,correct_first_only,correct_second_only,correct_difference,wrong_first_only,wrong_second_only,wrong_difference,indeterminate_first_only,indeterminate_second_only,indeterminate_difference
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,full34,baseline,full34,uniform_white,1000,998,first_minus_second,0,2,-0.0020000000000000018,0,0,0.0,2,0,0.0019999999999999983
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,full34,baseline,full34,clustered_correlated,1000,997,first_minus_second,0,3,-0.0030000000000000027,0,0,0.0,3,0,0.003000000000000001
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,full34,baseline,full34,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,covariates_only66,baseline,covariates_only66,uniform_white,1000,997,first_minus_second,0,2,-0.002,0,1,-0.001,3,0,0.0030000000000000027
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,covariates_only66,baseline,covariates_only66,clustered_correlated,1000,995,first_minus_second,0,4,-0.003999999999999998,0,1,-0.001,5,0,0.0050000000000000044
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,covariates_only66,baseline,covariates_only66,sparse_floor,1000,989,first_minus_second,0,8,-0.007999999999999998,0,3,-0.003,11,0,0.01100000000000001
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,conditional66,baseline,conditional66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,conditional66,baseline,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,calibration,envelope,conditional66,baseline,conditional66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,full34,uniform_white,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,information,baseline,full66,baseline,full34,clustered_correlated,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
